YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1957   -9.3   -9.2  -10.3   -1.1    3.6    8.8   16.8   12.3    5.9    0.6   -6.2  -14.2    -9.9    -2.6    12.6     0.1    0.07
1958  -16.4  -13.8   -9.5   -4.0    2.2   10.9   12.1   12.9    6.2    0.6   -1.8  -16.0   -14.8    -3.8    12.0     1.7   -1.23
1959  -13.7   -5.5   -2.6   -3.5    6.1   12.4   14.4   13.0    5.0   -0.7   -6.7  -13.4   -11.7     0.0    13.3    -0.8    0.18
1960  -17.9  -15.9   -5.9   -0.1    8.8   12.6   17.8   12.6    7.0   -5.4   -9.2   -9.9   -15.7     0.9    14.3    -2.5   -0.75
1961  -10.1   -9.7   -6.3   -4.0    3.9   14.2   15.9   11.7    6.7    5.7   -2.9  -13.7    -9.9    -2.1    13.9     3.2    1.27
1962  -14.7  -10.8  -16.6   -0.1    4.7    9.2   11.3    9.6    5.9    0.7   -2.7  -16.6   -13.1    -4.0    10.0     1.3   -1.43
1963  -16.2  -16.6  -14.7   -0.6   10.7    9.3   13.1   12.3    8.8    0.9   -6.3  -11.6   -16.5    -1.5    11.6     1.1   -1.33
1964   -7.5  -14.7   -9.2   -2.6    5.7   10.2   14.4   11.4    5.2    3.5   -7.2  -11.6   -11.3    -2.0    12.0     0.5   -0.20
1965  -12.2  -11.9  -11.2   -1.6    1.9   11.0   11.8   10.4    7.4   -0.1  -10.2  -14.8   -11.9    -3.6    11.1    -1.0   -1.36
1966  -21.2  -23.8  -16.3   -3.9    4.6   13.0   14.5   10.5    3.6   -2.5   -3.4  -10.6   -19.9    -5.2    12.7    -0.8   -3.31
1967  -20.5   -8.9   -3.3   -0.7    4.9   10.7   13.9   13.9    7.6    0.2   -0.7  -20.2   -13.3     0.3    12.8     2.4    0.54
1968  -19.0  -16.1   -8.7   -2.3    2.0   11.9   11.2   10.5    3.1   -6.5   -6.8   -6.3   -18.4    -3.0    11.2    -3.4   -3.41
1969  -14.4  -18.0  -11.4   -3.2    2.5   10.9   14.1   13.4    5.0    1.1   -6.6  -10.3   -12.9    -4.0    12.8    -0.2   -1.08
1970  -15.5  -20.4   -6.0   -5.1    4.4   14.8   15.4   12.5    6.4    0.3   -9.5  -10.9   -15.4    -2.2    14.2    -0.9   -1.08
1971  -12.9  -16.0  -14.2   -4.3    4.1   11.1   13.3   11.8    4.6   -1.6  -12.7  -10.2   -13.3    -4.8    12.1    -3.2   -2.31
1972  -10.9  -12.4   -6.7   -1.8    3.6   14.0   17.5   12.6    6.1   -0.4   -9.1   -3.2   -11.2    -1.6    14.7    -1.1    0.19
1973   -8.8  -12.2   -6.1   -1.5    4.4   13.2   18.1   10.8    3.4   -4.6  -11.2  -17.6    -8.1    -1.1    14.0    -4.1    0.19
1974  -10.1   -7.5   -5.0   -1.1    3.5   13.2   15.3   12.3    9.0    0.1   -5.9   -4.7   -11.7    -0.9    13.6     1.1    0.52
1975  -12.3   -8.9   -3.1   -1.8    6.6    9.7   12.6   10.0    7.3    0.0   -5.0  -13.4    -8.6     0.6    10.8     0.8    0.87
1976  -19.2  -11.3  -10.4   -1.9    6.8    9.4   13.1   12.0    3.4   -2.9   -9.3  -12.1   -14.6    -1.8    11.5    -2.9   -1.98
1977  -13.8  -14.9   -8.7   -3.3    3.4    9.7   13.7   10.3    4.4   -2.4   -5.4  -11.5   -13.6    -2.9    11.2    -1.1   -1.59
1978  -15.3  -16.0   -8.1   -3.5    5.5   11.1   13.2    9.9    5.7   -1.5   -8.5  -20.8   -14.3    -2.0    11.4    -1.4   -1.58
1979  -18.3  -14.9   -7.0   -3.6    5.8   12.2   14.8   12.6    6.2   -3.1   -5.4  -10.0   -18.0    -1.6    13.2    -0.8   -1.79
1980  -17.4  -16.8  -10.6   -0.4    4.6   15.0   14.4   10.8    6.6   -2.2  -12.8  -15.4   -14.7    -2.1    13.4    -2.8   -1.57
1981  -12.7  -15.4  -15.0   -3.0    5.6    8.6   14.3   10.4    5.9    0.8   -6.8  -21.5   -14.5    -4.1    11.1    -0.0   -1.89
1982  -20.4   -9.4   -5.7   -1.0    4.3    7.3   14.8   10.7    5.7   -0.6   -3.6   -8.4   -17.1    -0.8    10.9     0.5   -1.62
1983  -10.5  -12.6   -7.3    0.6    6.4   11.0   14.5   10.2    7.8    0.0  -15.0  -15.8   -10.5    -0.1    11.9    -2.4   -0.28
1984  -14.7   -6.9  -10.1   -0.9    9.1   11.8   12.7   10.5    4.7   -0.4   -8.3   -7.6   -12.5    -0.6    11.7    -1.3   -0.69
1985  -24.4  -25.1   -6.9   -4.0    2.8   11.7   14.6   12.1    6.0    1.0   -8.1  -21.3   -19.0    -2.7    12.8    -0.4   -2.33
1986  -19.0  -14.8   -3.9   -2.7    5.7   14.5   13.9    9.0    2.8    1.8   -2.9  -19.2   -18.4    -0.3    12.5     0.6   -1.41
1987  -22.6  -15.6   -9.9   -2.6    4.4   10.9   12.4    9.0    6.0    5.5   -8.8  -17.0   -19.1    -2.7    10.8     0.9   -2.54
1988  -13.1  -13.0   -7.5   -4.1    5.5   13.0   16.5   11.6    7.5   -0.2  -11.4  -16.0   -14.4    -2.0    13.7    -1.4   -1.02
1989   -9.0   -8.9   -2.5    1.5    7.3   13.4   13.7   11.9    6.8   -1.0   -4.7  -13.0   -11.3     2.1    13.0     0.4    1.04
1990  -16.8   -3.1   -6.0    0.1    5.1   10.7   13.9   12.0    5.0    0.2  -10.4   -6.1   -11.0    -0.3    12.2    -1.7   -0.19
1991  -11.9  -17.3   -9.6   -0.9    3.3   10.2   14.3   12.7    4.2    0.6   -3.7   -8.6   -11.8    -2.4    12.4     0.4   -0.35
1992   -8.5   -6.7   -3.7   -4.4    7.4   13.5   11.7    9.2    8.3   -8.7   -9.7   -4.6    -7.9    -0.2    11.5    -3.4   -0.02
1993   -9.7   -9.8   -7.2   -2.3    5.6    8.0   14.6   11.1    2.5   -4.1   -5.4  -10.4    -8.0    -1.3    11.2    -2.3   -0.11
1994  -16.3  -14.4   -7.4    1.5    3.8   11.1   14.7   12.4    5.4   -0.7   -7.3   -5.6   -13.7    -0.7    12.7    -0.9   -0.63
1995   -9.7   -7.8   -3.8   -1.8    3.7   13.3   12.5   11.5    5.6    0.1  -12.2  -16.8    -7.7    -0.6    12.4    -2.2    0.48
1996   -8.8  -14.4   -6.6   -2.5    2.0   10.2   12.9   14.3    5.2    1.9   -4.7  -12.8   -13.3    -2.4    12.5     0.8   -0.61
1997  -13.1  -12.4   -6.6   -5.6    3.4   12.9   15.9   13.5    7.5   -1.5   -7.9  -10.0   -12.8    -2.9    14.1    -0.6   -0.56
1998  -12.4  -19.4  -11.0   -4.2    4.1   10.0   15.4   10.6    6.0    0.3  -10.0  -12.8   -13.9    -3.7    12.0    -1.2   -1.72
1999  -18.5  -14.0   -7.2    0.1    3.2   14.6   14.7    9.6    8.6    1.8   -3.4  -14.9   -15.1    -1.3    13.0     2.3   -0.28
2000  -12.2  -10.4   -6.1   -0.4    6.4   11.4   15.5   11.9    6.9    4.4   -2.3  -10.3   -12.5    -0.0    12.9     3.0    0.85
2001   -6.8  -15.5  -12.7   -1.7    4.2   13.5   14.9   11.5    8.1    0.1   -8.0  -14.1   -10.9    -3.4    13.3     0.1   -0.23
2002  -14.4   -9.7   -8.0    2.0    7.2   13.8   15.6   13.4    5.3   -2.5  -12.3  -16.5   -12.7     0.4    14.3    -3.2   -0.31
2003  -20.9   -7.6   -3.6   -1.8    6.8   10.7   18.4   11.9    6.6   -0.2   -4.1  -11.6   -15.0     0.5    13.7     0.8   -0.03
2004  -11.3  -12.7   -6.3   -0.4    5.4   10.6   16.2   12.0    7.4    0.1   -8.4   -7.6   -11.9    -0.4    12.9    -0.3    0.08
2005   -8.4   -9.9  -10.4    0.3    4.4   13.0   16.3   13.6    7.4    2.5   -1.0  -10.0    -8.6    -1.9    14.3     3.0    1.68
2006  -10.9  -15.2  -11.5    1.6    6.5   13.4   14.5   14.6    6.9   -1.7   -6.0   -4.8   -12.0    -1.1    14.2    -0.3    0.18
2007  -13.4  -19.1   -2.4   -0.1    5.4   11.9   14.0   13.1    5.8    3.8   -5.9   -3.6   -12.4     1.0    13.0     1.2    0.69
2008   -9.0   -9.5   -9.0   -1.2    4.5   10.8   13.4   10.2    5.3    1.2   -6.1   -4.1    -7.4    -1.9    11.5     0.1    0.58
2009  -11.4  -12.3   -7.0   -1.6    7.9   11.2   13.7   13.8  999.9   -2.7   -2.2  -12.1    -9.3    -0.2    12.9     0.8    1.05
2010  -14.6  -17.5  -10.3    1.2    8.1   10.9   15.8   11.4    6.9    2.0  -11.4  -15.2   -14.7    -0.3    12.7    -0.8   -0.80
2011  -13.4  -19.0   -6.0    2.6    6.5  999.9   16.6   12.5    8.7    2.9   -2.1   -3.7   -15.9     1.0    14.0     3.2    0.58
2012  -12.5  -15.8   -5.4   -2.2    5.9   10.7   10.7   12.1  999.9   -0.1   -4.1  -14.5   -10.7    -0.6    11.2     1.1    0.27
2013  -11.5   -9.4  -13.2   -0.9    9.5   14.2  999.9   13.9    9.1    0.4   -5.9   -8.2   -11.8    -1.5    15.1     1.2    0.73
2014  -15.1   -4.0   -3.9   -0.2    5.4   10.6   18.3  999.9    7.6   -1.0   -5.7   -5.7    -9.1     0.4    14.0     0.3    1.41
2015  -14.1  -14.1   -2.3    0.9    6.3   10.2   12.0   13.5    9.5    0.6   -2.5   -8.9   -11.3     1.6    11.9     2.5    1.19
2016  -18.1   -6.3   -4.0    1.1    9.0   12.0   16.8   12.2    8.5    1.7   -6.1  999.9   -11.1     2.0    13.7     1.4    1.49
2017  -10.2  -10.1   -5.6   -2.5    2.6   10.3   15.1   11.9    7.2    0.4   -5.5  -10.1    -9.3    -1.8    12.4     0.7    0.49
2018  -11.7  -14.9  -10.4    0.2   10.2   11.0   20.1   13.6    7.8   -0.4   -0.8   -0.8   -12.2     0.0    14.9     2.2    1.22
2019  -16.8  -11.7   -7.2    1.7    5.4   12.5   13.5  999.9  999.9  999.9  999.9  999.9    -9.8    -0.0    12.6   999.9    0.98

